国民の祝日・休日月日,国民の祝日・休日名称
1955/1/1,元日
1955/1/15,成人の日
1955/3/21,春分の日
1955/4/29,天皇誕生日
1955/5/3,憲法記念日
1955/5/5,こどもの日
1955/9/24,秋分の日
1955/11/3,文化の日
1955/11/23,勤労感謝の日
1956/1/1,元日
1956/1/15,成人の日
1956/3/21,春分の日
1956/4/29,天皇誕生日
1956/5/3,憲法記念日
1956/5/5,こどもの日
1956/9/23,秋分の日
1956/11/3,文化の日
1956/11/23,勤労感謝の日
1957/1/1,元日
1957/1/15,成人の日
1957/3/21,春分の日
1957/4/29,天皇誕生日
1957/5/3,憲法記念日
1957/5/5,こどもの日
1957/9/23,秋分の日
1957/11/3,文化の日
1957/11/23,勤労感謝の日
1958/1/1,元日
1958/1/15,成人の日
1958/3/21,春分の日
1958/4/29,天皇誕生日
1958/5/3,憲法記念日
1958/5/5,こどもの日
1958/9/23,秋分の日
1958/11/3,文化の日
1958/11/23,勤労感謝の日
1959/1/1,元日
1959/1/15,成人の日
1959/3/21,春分の日
1959/4/10,結婚の儀
1959/4/29,天皇誕生日
1959/5/3,憲法記念日
1959/5/5,こどもの日
1959/9/24,秋分の日
1959/11/3,文化の日
1959/11/23,勤労感謝の日
1960/1/1,元日
1960/1/15,成人の日
1960/3/20,春分の日
1960/4/29,天皇誕生日
1960/5/3,憲法記念日
1960/5/5,こどもの日
1960/9/23,秋分の日
1960/11/3,文化の日
1960/11/23,勤労感謝の日
1961/1/1,元日
1961/1/15,成人の日
1961/3/21,春分の日
1961/4/29,天皇誕生日
1961/5/3,憲法記念日
1961/5/5,こどもの日
1961/9/23,秋分の日
1961/11/3,文化の日
1961/11/23,勤労感謝の日
1962/1/1,元日
1962/1/15,成人の日
1962/3/21,春分の日
1962/4/29,天皇誕生日
1962/5/3,憲法記念日
1962/5/5,こどもの日
1962/9/23,秋分の日
1962/11/3,文化の日
1962/11/23,勤労感謝の日
1963/1/1,元日
1963/1/15,成人の日
1963/3/21,春分の日
1963/4/29,天皇誕生日
1963/5/3,憲法記念日
1963/5/5,こどもの日
1963/9/24,秋分の日
1963/11/3,文化の日
1963/11/23,勤労感謝の日
1964/1/1,元日
1964/1/15,成人の日
1964/3/20,春分の日
1964/4/29,天皇誕生日
1964/5/3,憲法記念日
1964/5/5,こどもの日
1964/9/23,秋分の日
1964/11/3,文化の日
1964/11/23,勤労感謝の日
1965/1/1,元日
1965/1/15,成人の日
1965/3/21,春分の日
1965/4/29,天皇誕生日
1965/5/3,憲法記念日
1965/5/5,こどもの日
1965/9/23,秋分の日
1965/11/3,文化の日
1965/11/23,勤労感謝の日
